Question,Answer,
What is an algorithm?,A step-by-step procedure or formula for solving a problem,
What does CPU stand for?,Central Processing Unit,
What is Object-Oriented Programming?,A programming paradigm based on the concept of objects that contain data and code,
What is a data structure?,A specialized format for organizing and storing data,
What is the difference between RAM and ROM?,RAM (Random Access Memory) is volatile and temporary while ROM (Read-Only Memory) is non-volatile and permanent,
What is recursion in programming?,A technique where a function calls itself to solve a problem,
What is a binary tree?,A tree data structure where each node has at most two children,
What is the time complexity of binary search?,O(log n),
What is SQL?,Structured Query Language used for managing relational databases,
What is a compiler?,A program that translates code written in a high-level language to machine code,
What is a deadlock in operating systems?,A situation where two or more processes are unable to proceed because each is waiting for resources held by another,
What is an API?,Application Programming Interface - a set of rules allowing software applications to communicate with each other,
What is virtualization?,Technology that creates virtual versions of computer resources,
What is a firewall?,A network security system that monitors and controls incoming and outgoing network traffic,
What is machine learning?,A subset of AI that enables systems to learn and improve from experience without explicit programming,
What is the TCP/IP model?,A conceptual framework used for network communications in the Internet,
What does HTTP stand for?,Hypertext Transfer Protocol,
What is a database index?,A data structure that improves the speed of data retrieval operations,
What is the difference between stack and queue?,Stack follows Last In First Out (LIFO) while Queue follows First In First Out (FIFO),
What is the primary purpose of an operating system?,To manage computer hardware and software resources and provide common services for computer programs,
What is normalization in databases?,The process of organizing data to reduce redundancy and improve data integrity,
What is a hash function?,A function that converts input data of arbitrary size to fixed-size output,
What is dynamic programming?,A method for solving complex problems by breaking them down into simpler subproblems,
What is version control?,System that records changes to files over time so specific versions can be recalled later,
What is cloud computing?,The delivery of computing services over the internet,
What is a thread in computing?,The smallest sequence of programmed instructions that can be managed independently,
What is DNS?,Domain Name System - translates domain names to IP addresses,
What is a join in SQL?,An operation that combines rows from two or more tables based on a related column,
What is Big O notation?,A mathematical notation that describes the limiting behavior of a function,
What is encryption?,The process of encoding information to prevent unauthorized access,
What is a constructor in OOP?,A special method that is automatically called when an object is created,
What is the difference between frontend and backend?,Frontend handles user interface while backend manages server-side logic and database interactions,
What is agile development?,An iterative approach to software development that emphasizes flexibility and customer satisfaction,
What is a memory leak?,A failure to release discarded memory causing impaired performance or failure, 
What is a linked list?,A linear data structure where elements are not stored at contiguous memory locations,
What is a REST API?,Representational State Transfer - an architectural style for distributed hypermedia systems,
What is a cache?,A hardware or software component that stores data to serve future requests faster,
What is multithreading?,A technique where multiple threads execute concurrently within a single process,
What is pair programming?,A software development technique where two programmers work together at one workstation,
What is responsive web design?,An approach to web design that makes web pages render well on various devices and window sizes,
