Hindi,English
भाग,part
इतिहास,history
खोज,search
केवल,only
पुलिस,police
सोचा,thought
मदद,help
अनुरोध,request
प्रकार,kind
महीना,month
भाई,brother
छोड़ना,let
क्योंकि,because
रखना,to put
कोई नहीं,no
पट्टा,leash
उन्हें,them
शहर,city
प्रत्येक,each
बोला,speak
आया,come
चाहिए,should
शिशु,baby
लंबे समय,long time
घंटे,hours
जाएंगे,will
दौरान,while
फिर मिलना,meet again
कोई भी,any
चौक,square
बोलता है,speak
समझा,understood
जानता था,knew
थे,were
ध्यान,warning
यह रहा,here is
सकता,could
मामला,case
देना,give
प्रकार,type
उनका,their
दिया,given
ट्रेन,train
शरीर,body
स्थान,place
आँखें,eyes
तरीका,way
सुनो,listen
जिसका,whose
पाता है,find
पहला,first
खोया,lost
हाथ,hand
पहली,first
तरफ,side
शक्ति,power
पुराना,old
हो,be
पकड़ो,here
सुबह,morning
इतना,so much
बच्चा,child
बिंदु,point
आया,came
बाद,after
माफ़ करना,sorry
आओ,come
सामने,in front of
की ओर,towards
मिनट,minutes
पूछा,request
कमरा,bedroom
रखा,placed
सुंदर,beautiful
कानून,law
चाहूंगा,would like to
आज,today
पति,husband
कारण,cause
आखिरकार,finally
आशा,hope
पानी,water
इंतज़ार,wait
चला गया,left
नई,new
काम,job
रोकना,stop
कहेगा,would say
पृथ्वी,earth
खाता,account
देता है,given
दूर,far
अंत,end
विश्वास,believe
प्रिय,sweetheart
मोटा,large
बल्कि,rather
होगा,will have
लड़कियां,girls
खेलना,to play
कार्यालय,office
